CustomerID,Frequency,TotalSpent,AvgOrderValue,TotalQuantity,NumSessions,Recency,Cluster
12347,181,4060.4,22.43314917127072,2218,7,1,0
12348,30,1557.24,51.908,2335,4,74,0
12349,72,1457.55,20.24375,630,1,18,0
12350,17,334.4,19.670588235294115,197,1,309,0
12352,83,1849.49,22.28301204819277,534,8,35,0
12353,4,89.0,22.25,20,1,203,0
12354,58,1079.4,18.610344827586207,530,1,231,0
12355,13,459.4,35.33846153846154,240,1,213,0
12356,58,2487.43,42.88672413793103,1573,3,22,0
12357,130,5970.07,45.92361538461538,2660,1,32,0
12358,19,1168.06,61.47684210526315,248,2,1,0
12359,246,5792.58,23.547073170731707,1618,4,57,0
12360,129,2662.06,20.63612403100775,1165,3,51,0
12361,10,189.9,18.990000000000002,91,1,286,0
12362,266,5226.23,19.647481203007516,2229,10,2,0
12363,23,552.0,24.0,408,2,109,0
12364,85,1313.1,15.448235294117646,1506,4,7,0
12365,21,320.69,15.27095238095238,173,1,290,0
12367,11,168.9,15.354545454545455,173,1,3,0
12370,167,3545.69,21.231676646706585,2353,4,50,0
12371,62,1527.96,24.644516129032258,582,1,59,0
12372,52,1298.04,24.962307692307693,794,3,71,0
12373,14,364.6,26.042857142857144,197,1,310,0
12374,33,742.9300000000001,22.513030303030305,342,1,24,0
12375,17,457.5,26.91176470588235,178,2,10,0
12377,77,1628.12,21.144415584415583,944,2,314,0
12378,219,4008.62,18.30420091324201,2529,1,129,0
12379,40,852.24,21.306,407,2,81,0
12380,104,2724.81,26.200096153846154,1127,4,21,0
12381,86,1605.31,18.66639534883721,802,5,4,0
12383,99,1850.56,18.69252525252525,1532,5,184,0
12384,27,585.27,21.676666666666666,126,2,28,0
12386,10,401.9,40.19,354,2,337,0
12388,100,2780.66,27.8066,1462,6,15,0
12390,32,549.84,17.1825,353,1,79,0
12391,100,460.89,4.6089,300,1,21,0
12393,64,1582.6000000000001,24.728125000000002,816,4,71,0
12394,26,1006.24,38.70153846153846,563,2,63,0
12395,156,3018.63,19.350192307692307,2118,12,18,0
12397,126,2409.9,19.126190476190477,1263,2,35,0
12398,85,1635.6599999999999,19.24305882352941,1394,1,45,0
12399,59,1108.65,18.790677966101697,1178,4,118,0
12401,5,84.3,16.86,11,1,302,0
12402,11,225.6,20.509090909090908,94,1,322,0
12403,5,427.7,85.53999999999999,96,1,49,0
12405,53,1390.39,26.233773584905663,849,1,148,0
12406,105,3415.3,32.52666666666667,1818,2,21,0
12407,77,1708.1200000000001,22.183376623376624,1416,5,49,0
12408,105,2888.55,27.51,1409,5,32,0
12409,101,9081.77,89.91851485148516,5145,3,78,0
12410,26,693.3299999999999,26.666538461538458,211,2,308,0
12412,61,1226.88,20.112786885245903,829,3,74,0
12413,38,758.1,19.95,286,3,66,0
12414,18,562.41,31.244999999999997,300,3,216,0
12415,496,44498.59,89.71489919354838,40607,15,24,1
12417,192,3649.1,19.005729166666665,1552,9,2,0
12418,34,668.58,19.664117647058823,407,1,112,0
12420,29,600.39,20.70310344827586,345,1,63,0
12421,45,807.04,17.93422222222222,484,4,15,0
12422,39,803.5600000000001,20.604102564102565,370,3,95,0
12423,125,1859.31,14.87448,1339,8,0,0
12424,29,1454.96,50.17103448275862,668,2,162,0
